Student_ID,Student_Name,Gender,City,Study_Hours,Attendance,Math_Score,Science_Score,English_Score,Result
S001,Student_001,Male,Pune,7,67,67,88,77,Pass
S002,Student_002,Male,Amravati,3,66,64,64,62,Pass
S003,Student_003,Male,Amravati,5,62,54,54,62,Pass
S004,Student_004,Female,Pune,6,61,76,63,83,Pass
S005,Student_005,Female,Nagpur,5,97,70,60,69,Pass
S006,Student_006,Male,Mumbai,4,69,55,71,61,Pass
S007,Student_007,Female,Mumbai,5,66,66,64,76,Pass
S008,Student_008,Male,Amravati,7,89,89,73,86,Pass
S009,Student_009,Male,Mumbai,4,83,71,57,77,Pass
S010,Student_010,Male,Mumbai,7,74,92,76,72,Pass
S011,Student_011,Male,Nagpur,5,77,71,75,70,Pass
S012,Student_012,Male,Amravati,4,73,71,56,74,Pass
S013,Student_013,Male,Nashik,7,70,84,88,76,Pass
S014,Student_014,Male,Nagpur,5,77,77,77,76,Pass
S015,Student_015,Female,Nagpur,8,63,79,71,84,Pass
S016,Student_016,Male,Nashik,2,73,56,58,50,Pass
S017,Student_017,Male,Amravati,5,89,64,66,66,Pass
S018,Student_018,Female,Nagpur,6,76,86,79,78,Pass
S019,Student_019,Male,Mumbai,3,68,59,56,47,Pass
S020,Student_020,Male,Nashik,3,70,64,54,64,Pass
S021,Student_021,Male,Mumbai,5,98,76,76,72,Pass
S022,Student_022,Female,Mumbai,7,94,98,80,96,Pass
S023,Student_023,Female,Amravati,4,87,59,66,56,Pass
S024,Student_024,Female,Amravati,8,71,90,75,96,Pass
S025,Student_025,Male,Amravati,6,72,66,71,69,Pass
S026,Student_026,Female,Pune,4,91,55,56,68,Pass
S027,Student_027,Female,Mumbai,2,75,57,39,43,Pass
S028,Student_028,Female,Amravati,8,94,98,82,86,Pass
S029,Student_029,Male,Amravati,3,76,61,62,60,Pass
S030,Student_030,Female,Nashik,8,72,96,81,88,Pass
S031,Student_031,Male,Nagpur,6,88,69,71,75,Pass
S032,Student_032,Male,Mumbai,2,97,61,49,64,Pass
S033,Student_033,Female,Mumbai,2,63,43,36,39,Fail
S034,Student_034,Male,Amravati,6,75,71,82,80,Pass
S035,Student_035,Female,Nashik,3,96,68,63,59,Pass
S036,Student_036,Female,Nashik,3,66,46,62,58,Pass
S037,Student_037,Male,Mumbai,5,89,83,59,83,Pass
S038,Student_038,Male,Amravati,5,81,61,63,66,Pass
S039,Student_039,Female,Pune,5,68,68,58,65,Pass
S040,Student_040,Male,Amravati,8,64,86,87,77,Pass
S041,Student_041,Male,Nashik,8,60,73,93,80,Pass
S042,Student_042,Male,Nashik,5,90,66,70,64,Pass
S043,Student_043,Female,Amravati,2,84,49,53,52,Pass
S044,Student_044,Male,Mumbai,7,91,77,77,84,Pass
S045,Student_045,Male,Mumbai,6,94,68,88,80,Pass
S046,Student_046,Male,Amravati,6,90,82,80,74,Pass
S047,Student_047,Male,Nashik,2,71,40,55,42,Pass
S048,Student_048,Male,Amravati,2,96,51,60,65,Pass
S049,Student_049,Female,Nagpur,2,86,62,58,62,Pass
S050,Student_050,Male,Nagpur,3,80,53,52,60,Pass
S051,Student_051,Female,Amravati,5,80,82,58,60,Pass
S052,Student_052,Female,Pune,6,66,62,76,68,Pass
S053,Student_053,Male,Nashik,4,64,55,57,59,Pass
S054,Student_054,Male,Amravati,8,94,98,86,98,Pass
S055,Student_055,Male,Amravati,4,66,52,54,54,Pass
S056,Student_056,Female,Pune,3,77,54,62,53,Pass
S057,Student_057,Male,Mumbai,7,76,85,82,79,Pass
S058,Student_058,Female,Pune,7,87,80,71,74,Pass
S059,Student_059,Female,Amravati,7,76,74,90,85,Pass
S060,Student_060,Male,Nagpur,2,67,39,57,43,Pass
S061,Student_061,Male,Nagpur,6,95,72,79,74,Pass
S062,Student_062,Male,Mumbai,4,62,58,52,70,Pass
S063,Student_063,Male,Pune,4,95,69,73,62,Pass
S064,Student_064,Female,Nashik,8,71,87,72,81,Pass
S065,Student_065,Male,Nashik,8,75,83,78,98,Pass
S066,Student_066,Female,Nagpur,8,62,86,76,80,Pass
S067,Student_067,Male,Nashik,4,74,58,48,74,Pass
S068,Student_068,Female,Amravati,4,77,53,73,61,Pass
S069,Student_069,Female,Pune,5,94,72,60,66,Pass
S070,Student_070,Female,Nagpur,6,76,64,64,84,Pass
S071,Student_071,Male,Nashik,7,80,83,87,88,Pass
S072,Student_072,Female,Mumbai,6,72,70,61,86,Pass
S073,Student_073,Male,Nagpur,6,94,88,88,90,Pass
S074,Student_074,Female,Mumbai,5,64,75,62,75,Pass
S075,Student_075,Female,Nagpur,7,79,86,77,93,Pass
S076,Student_076,Female,Nashik,5,78,74,60,66,Pass
S077,Student_077,Female,Amravati,7,71,87,84,79,Pass
S078,Student_078,Female,Amravati,8,60,80,78,79,Pass
S079,Student_079,Male,Amravati,6,80,78,76,80,Pass
S080,Student_080,Female,Mumbai,5,70,76,56,66,Pass
S081,Student_081,Male,Pune,8,75,96,82,84,Pass
S082,Student_082,Male,Nashik,2,62,42,48,56,Pass
S083,Student_083,Female,Nashik,5,96,68,82,86,Pass
S084,Student_084,Male,Mumbai,5,75,61,75,81,Pass
S085,Student_085,Female,Mumbai,8,87,85,81,98,Pass
S086,Student_086,Female,Amravati,6,75,66,75,69,Pass
S087,Student_087,Female,Amravati,6,98,78,90,84,Pass
S088,Student_088,Female,Pune,5,70,78,68,72,Pass
S089,Student_089,Female,Pune,8,77,98,97,93,Pass
S090,Student_090,Male,Nagpur,4,88,56,74,65,Pass
S091,Student_091,Male,Pune,4,80,69,52,58,Pass
S092,Student_092,Female,Nashik,5,69,77,59,59,Pass
S093,Student_093,Male,Nashik,4,94,70,66,58,Pass
S094,Student_094,Female,Nashik,5,97,84,60,82,Pass
S095,Student_095,Female,Amravati,2,82,50,62,54,Pass
S096,Student_096,Male,Nagpur,7,94,92,78,90,Pass
S097,Student_097,Female,Pune,5,91,61,71,73,Pass
S098,Student_098,Male,Nashik,8,89,82,95,97,Pass
S099,Student_099,Female,Pune,6,96,89,66,72,Pass
S100,Student_100,Female,Nagpur,8,89,83,77,88,Pass
